source,artifact_kind,columns,missing_formal_columns,probability_status,raw_bwer_status,standardised_bwer_status,selective_bwer_status,conformal_bwer_status,inference_status,recommended_action,protocol_hash
outputs\test_unified_reben_selective_ae9de21c8da74fadb23d57fbd03181a0\selective\selective_risk_summary_cross_dataset.csv,selective_or_predictions,experiment_id;dataset;deployment_axis;coverage_target;slice_variable;slice_value;confidence_threshold;retained_count;total_count;retained_coverage;abstention_rate;mean_risk;run_id;sensor_mode;status;source_path;reason,model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_reben_selective_b82eafd5d5c74515b00698afeae3eef0\reben_croma_sensor_mode_audit_croma_s1_full\content\outputs\reben_croma_sensor_mode_audit_croma_s1_full\selective_risk_summary.csv,selective_or_predictions,coverage_target;slice_variable;slice_value;confidence_threshold;retained_count;total_count;retained_coverage;abstention_rate;mean_risk,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_reben_selective_b82eafd5d5c74515b00698afeae3eef0\selective\selective_bwer_summary.csv,selective_or_predictions,experiment_id;run_id;coverage_target;slice_variable;mean_slice_risk;worst_slice_risk;selective_bwer_proxy;note,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_reben_selective_b82eafd5d5c74515b00698afeae3eef0\selective\selective_risk_caveats.csv,selective_or_predictions,experiment_id;dataset;deployment_axis;task_type;confidence_definition;availability_policy;run_id;status;source_path;reason;caveat,model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_reben_selective_b82eafd5d5c74515b00698afeae3eef0\selective\selective_risk_summary_cross_dataset.csv,selective_or_predictions,experiment_id;dataset;deployment_axis;coverage_target;slice_variable;slice_value;confidence_threshold;retained_count;total_count;retained_coverage;abstention_rate;mean_risk;run_id;sensor_mode;status;source_path;reason,model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_reben_selective_dbddc147622c41b99226d6cd7bf6b5ce\reben_croma_sensor_mode_audit_croma_s1_full\content\outputs\reben_croma_sensor_mode_audit_croma_s1_full\selective_risk_summary.csv,selective_or_predictions,coverage_target;slice_variable;slice_value;confidence_threshold;retained_count;total_count;retained_coverage;abstention_rate;mean_risk,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_reben_selective_dbddc147622c41b99226d6cd7bf6b5ce\selective\selective_bwer_summary.csv,selective_or_predictions,experiment_id;run_id;coverage_target;slice_variable;mean_slice_risk;worst_slice_risk;selective_bwer_proxy;note,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_reben_selective_dbddc147622c41b99226d6cd7bf6b5ce\selective\selective_risk_caveats.csv,selective_or_predictions,experiment_id;dataset;deployment_axis;task_type;confidence_definition;availability_policy;run_id;status;source_path;reason;caveat,model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_reben_selective_dbddc147622c41b99226d6cd7bf6b5ce\selective\selective_risk_summary_cross_dataset.csv,selective_or_predictions,experiment_id;dataset;deployment_axis;coverage_target;slice_variable;slice_value;confidence_threshold;retained_count;total_count;retained_coverage;abstention_rate;mean_risk;run_id;sensor_mode;status;source_path;reason,model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\test_unified_selective_0896646b3c054403b3c509ffcd99eb1b\predictions.csv,selective_or_predictions,sample_id;country;confidence;risk,dataset;model;task;split;independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,recomputable,missing_prediction_set_outputs,missing_cluster_or_spatial_block,upgrade_schema_or_reexport,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
